"PlateTrue","Rep","Community","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","AUC"
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,1,0,0,3,"1E10","11E10",20.2897682836491
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,1,0,0,3,"1E10","16E10",20.3139034507881
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,1,1,0,0,0,0,3,"1E11","1E11",20.5038625643888
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,1,1,0,0,0,0,3,"1E11","6E11",19.9806313842009
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,1,1,0,0,0,0,3,"1E11","11E11",19.4961199881419
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,1,1,0,0,0,0,3,"1E11","16E11",19.8575831546439
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,0,0,1,"1E2","1E2",21.1777248432141
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,0,0,1,"1E2","6E2",20.6581699613088
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,0,0,1,"1E2","11E2",20.246351134958
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,0,0,1,"1E2","16E2",20.2463713219307
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,0,2,"1E3","1E3",20.4826617026829
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,0,2,"1E3","6E3",20.3256877121211
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,0,2,"1E3","11E3",20.169665604628
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,0,2,"1E3","16E3",20.2193006396749
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,0,0,0,2,"1E4","1E4",19.7461569308125
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,0,0,0,2,"1E4","6E4",19.7060499506752
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,0,0,0,2,"1E4","11E4",19.5398924378888
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,0,0,0,2,"1E4","16E4",19.4279726712871
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,1,1,0,0,0,0,2,"1E5","1E5",20.4999824965386
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,1,1,0,0,0,0,2,"1E5","6E5",20.5414238399252
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,1,1,0,0,0,0,2,"1E5","11E5",20.1903029548656
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,1,1,0,0,0,0,2,"1E5","16E5",19.8774282393341
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,1,0,0,2,"1E6","1E6",20.9238456107817
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,1,0,0,2,"1E6","6E6",20.5039976180953
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,1,0,0,2,"1E6","11E6",20.4174321653654
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,1,0,0,2,"1E6","16E6",20.4929854831662
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,1,0,2,"1E7","1E7",17.1852396741293
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,1,0,2,"1E7","6E7",16.6403155943913
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,1,0,2,"1E7","11E7",16.4364331621706
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,1,0,2,"1E7","16E7",16.7239013565433
1,1,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,1,0,0,3,"1E8","1E8",19.7823418314859
6,2,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,1,0,0,3,"1E8","6E8",19.0627008964847
11,3,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,1,0,0,3,"1E8","11E8",19.3492551392106
16,4,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,1,0,0,3,"1E8","16E8",19.2835284362914
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,1,0,3,"1E9","1E9",17.5430145398974
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,1,0,3,"1E9","6E9",16.5290094376771
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,1,0,3,"1E9","11E9",16.8477637854038
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,1,0,3,"1E9","16E9",17.0403309279868
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,1,0,3,"1F10","1F10",22.353683805497
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,1,0,3,"1F10","6F10",22.0076369598225
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,1,0,3,"1F10","11F10",22.0150939625411
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,1,0,3,"1F10","16F10",21.6616332532151
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,1,0,0,0,3,"1F11","1F11",20.551831354826
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,1,0,0,0,3,"1F11","6F11",20.0691982563725
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,1,0,0,0,3,"1F11","11F11",20.0013188209776
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,1,0,0,0,3,"1F11","16F11",20.2266933469069
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,0,1,"1F2","1F2",21.3239545883668
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,0,1,"1F2","6F2",20.1052749093418
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,0,1,"1F2","11F2",20.2255813555473
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,0,1,"1F2","16F2",20.3552361377177
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,0,2,"1F3","1F3",20.5750968106502
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,0,2,"1F3","6F3",20.3558420702416
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,0,2,"1F3","11F3",20.4583877123994
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,0,2,"1F3","16F3",20.545654553925
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,0,1,0,0,0,0,2,"1F4","1F4",19.747735639911
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,0,1,0,0,0,0,2,"1F4","6F4",19.7602417550572
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,0,1,0,0,0,0,2,"1F4","11F4",19.7660783550828
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,0,1,0,0,0,0,2,"1F4","16F4",19.8043535621079
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,1,0,0,0,2,"1F5","1F5",20.2051928372878
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,1,0,0,0,2,"1F5","6F5",20.5316772631963
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,1,0,0,0,2,"1F5","11F5",20.2261374671021
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,1,0,0,0,2,"1F5","16F5",20.3245025921711
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,1,0,2,"1F6","1F6",17.4266973461283
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,1,0,2,"1F6","6F6",16.8990207214968
